class,elements,total_time,threads,write_level
ConcurrentHashMap,450,1091329,4,1
ConcurrentHashMap,450,2173253,7,1
ConcurrentHashMap,450,3392521,10,1
SynchronizedMap,450,330893,1,1
SynchronizedMap,450,1796256,4,1
SynchronizedMap,450,2330214,7,1
SynchronizedMap,450,5049880,10,1
SynchronizedRandomAccessList,450,4229153,1,1
SynchronizedRandomAccessList,450,30870099,4,1
SynchronizedRandomAccessList,450,42628475,7,1
SynchronizedRandomAccessList,450,79976030,10,1
CopyOnWriteArrayList,450,22585995,1,1
CopyOnWriteArrayList,450,80597812,4,1
CopyOnWriteArrayList,450,168867824,7,1
CopyOnWriteArrayList,450,332194096,10,1
ConcurrentHashMap,500,469041,1,1
ConcurrentHashMap,500,4303457,4,1
ConcurrentHashMap,500,1100091,7,1
ConcurrentHashMap,500,1682766,10,1
SynchronizedMap,500,361507,1,1
SynchronizedMap,500,5077717,4,1
SynchronizedMap,500,13540481,7,1
SynchronizedMap,500,4306514,10,1
SynchronizedRandomAccessList,500,7073629,1,1
SynchronizedRandomAccessList,500,31801586,4,1
SynchronizedRandomAccessList,500,47353855,7,1
SynchronizedRandomAccessList,500,70036552,10,1
CopyOnWriteArrayList,500,32083998,1,1
CopyOnWriteArrayList,500,138562789,4,1
CopyOnWriteArrayList,500,230357344,7,1
CopyOnWriteArrayList,500,380379064,10,1
ConcurrentHashMap,50,300715,1,2
ConcurrentHashMap,50,502442,4,2
ConcurrentHashMap,50,12425781,7,2
ConcurrentHashMap,50,7736455,10,2
SynchronizedMap,50,380199,1,2
SynchronizedMap,50,573828,4,2
SynchronizedMap,50,4660676,7,2
SynchronizedMap,50,8174659,10,2
SynchronizedRandomAccessList,50,1520889,1,2
SynchronizedRandomAccessList,50,11467520,4,2
SynchronizedRandomAccessList,50,16788291,7,2
SynchronizedRandomAccessList,50,25349580,10,2
CopyOnWriteArrayList,50,18855082,1,2
CopyOnWriteArrayList,50,53066077,4,2
CopyOnWriteArrayList,50,58988516,7,2
CopyOnWriteArrayList,50,106110681,10,2
ConcurrentHashMap,100,340860,1,2
ConcurrentHashMap,100,2807761,4,2
ConcurrentHashMap,100,1322551,7,2
ConcurrentHashMap,100,4679573,10,2
SynchronizedMap,100,352056,1,2
SynchronizedMap,100,1578689,4,2
SynchronizedMap,100,3826665,7,2
SynchronizedMap,100,5293601,10,2
SynchronizedRandomAccessList,100,3563064,1,2
SynchronizedRandomAccessList,100,15448661,4,2
SynchronizedRandomAccessList,100,35433199,7,2
SynchronizedRandomAccessList,100,38757742,10,2
CopyOnWriteArrayList,100,16869973,1,2
CopyOnWriteArrayList,100,82364875,4,2
CopyOnWriteArrayList,100,149586612,7,2
CopyOnWriteArrayList,100,175554505,10,2
ConcurrentHashMap,150,334168,1,2
ConcurrentHashMap,150,4926589,4,2
ConcurrentHashMap,150,3251510,7,2
ConcurrentHashMap,150,1141008,10,2
SynchronizedMap,150,291382,1,2
SynchronizedMap,150,850658,4,2
SynchronizedMap,150,1437793,7,2
SynchronizedMap,150,2100551,10,2
SynchronizedRandomAccessList,150,4547326,1,2
SynchronizedRandomAccessList,150,29183372,4,2
SynchronizedRandomAccessList,150,43540814,7,2
SynchronizedRandomAccessList,150,55330221,10,2
CopyOnWriteArrayList,150,16499301,1,2
CopyOnWriteArrayList,150,123262878,4,2
CopyOnWriteArrayList,150,276342177,7,2
CopyOnWriteArrayList,150,266197599,10,2
ConcurrentHashMap,200,418068,1,2
ConcurrentHashMap,200,810993,4,2
ConcurrentHashMap,200,996342,7,2
ConcurrentHashMap,200,4877905,10,2
SynchronizedMap,200,272872,1,2
SynchronizedMap,200,1760287,4,2
SynchronizedMap,200,1718347,7,2
SynchronizedMap,200,2402436,10,2
SynchronizedRandomAccessList,200,6978756,1,2
SynchronizedRandomAccessList,200,33039327,4,2
SynchronizedRandomAccessList,200,52721147,7,2
SynchronizedRandomAccessList,200,78216097,10,2
CopyOnWriteArrayList,200,34170111,1,2
CopyOnWriteArrayList,200,150964710,4,2
CopyOnWriteArrayList,200,288172516,7,2
CopyOnWriteArrayList,200,502399713,10,2
ConcurrentHashMap,250,364714,1,2
ConcurrentHashMap,250,718553,4,2
ConcurrentHashMap,250,1195821,7,2
ConcurrentHashMap,250,3669644,10,2
SynchronizedMap,250,374730,1,2
SynchronizedMap,250,1844911,4,2
SynchronizedMap,250,2040267,7,2
SynchronizedMap,250,2832908,10,2
SynchronizedRandomAccessList,250,10825804,1,2
SynchronizedRandomAccessList,250,46782900,4,2
SynchronizedRandomAccessList,250,80297344,7,2
SynchronizedRandomAccessList,250,114844925,10,2
CopyOnWriteArrayList,250,47289299,1,2
CopyOnWriteArrayList,250,206491647,4,2
CopyOnWriteArrayList,250,372282182,7,2
CopyOnWriteArrayList,250,563281937,10,2
ConcurrentHashMap,300,399185,1,2
ConcurrentHashMap,300,907679,4,2
ConcurrentHashMap,300,1764343,7,2
ConcurrentHashMap,300,8086641,10,2
SynchronizedMap,300,401154,1,2
SynchronizedMap,300,1120212,4,2
SynchronizedMap,300,3689646,7,2
SynchronizedMap,300,5848736,10,2
SynchronizedRandomAccessList,300,18150675,1,2
SynchronizedRandomAccessList,300,74432747,4,2
SynchronizedRandomAccessList,300,112002862,7,2
SynchronizedRandomAccessList,300,197908652,10,2
CopyOnWriteArrayList,300,89558993,1,2
CopyOnWriteArrayList,300,267177315,4,2
CopyOnWriteArrayList,300,491340980,7,2
CopyOnWriteArrayList,300,714828643,10,2
ConcurrentHashMap,350,1267944,1,2
ConcurrentHashMap,350,1572826,4,2
ConcurrentHashMap,350,2362759,7,2
ConcurrentHashMap,350,24295813,10,2
SynchronizedMap,350,661776,1,2
SynchronizedMap,350,1593794,4,2
SynchronizedMap,350,2307378,7,2
SynchronizedMap,350,3213919,10,2
SynchronizedRandomAccessList,350,19314271,1,2
SynchronizedRandomAccessList,350,84482242,4,2
SynchronizedRandomAccessList,350,143427148,7,2
SynchronizedRandomAccessList,350,214893578,10,2
CopyOnWriteArrayList,350,99547725,1,2
CopyOnWriteArrayList,350,354930307,4,2
CopyOnWriteArrayList,350,635831461,7,2
CopyOnWriteArrayList,350,972370491,10,2
ConcurrentHashMap,400,544139,1,2
ConcurrentHashMap,400,877623,4,2
ConcurrentHashMap,400,1964843,7,2
ConcurrentHashMap,400,5913478,10,2
SynchronizedMap,400,576377,1,2
SynchronizedMap,400,2029020,4,2
SynchronizedMap,400,4034178,7,2
SynchronizedMap,400,9145396,10,2
SynchronizedRandomAccessList,400,24632174,1,2
SynchronizedRandomAccessList,400,100859984,4,2
SynchronizedRandomAccessList,400,189112307,7,2
SynchronizedRandomAccessList,400,275752112,10,2
CopyOnWriteArrayList,400,103546773,1,2
CopyOnWriteArrayList,400,451231456,4,2
CopyOnWriteArrayList,400,1458858917,7,2
CopyOnWriteArrayList,400,6511907992,10,2
ConcurrentHashMap,450,4439273,1,2
ConcurrentHashMap,450,36605615,4,2
ConcurrentHashMap,450,9697106,7,2
ConcurrentHashMap,450,16134994,10,2
SynchronizedMap,450,862404,1,2
